PlateID,SampleID,WellID
Plate1,Sample1,A1
Plate1,Sample2,B1
Plate1,Sample3,C1
Plate1,Sample4,D1
Plate1,Sample5,E1
Plate1,Sample6,F1
Plate1,Sample7,G1
Plate1,Sample8,H1
Plate1,Sample9,A2
Plate1,Samplea,B2
Plate1,Sampleb,C2
Plate1,Samplec,D2
Plate1,Sampled,E2
Plate1,Samplee,F2
Plate1,Samplef,G2
Plate1,Sample10,H2
Plate1,Sample11,A3
Plate1,Sample12,B3
Plate1,Sample13,C3
Plate1,Sample14,D3
Plate1,Sample15,E3
Plate1,Sample16,F3
Plate1,Sample17,G3
Plate1,Sample18,H3
Plate1,Sample19,A4
Plate1,Sample1a,B4
Plate1,Sample1b,C4
Plate1,Sample1c,D4
Plate1,Sample1d,E4
Plate1,Sample1e,F4
Plate1,Sample1f,G4
Plate1,Sample20,H4
Plate1,Sample21,A5
Plate1,Sample22,B5
Plate1,Sample23,C5
Plate1,Sample24,D5
Plate1,Sample25,E5
Plate1,Sample26,F5
Plate1,Sample27,G5
Plate1,Sample28,H5
Plate1,Sample29,A6
Plate1,Sample2a,B6
Plate1,Sample2b,C6
Plate1,Sample2c,D6
Plate1,Sample2d,E6
Plate1,Sample2e,F6
Plate1,Sample2f,G6
Plate1,Sample30,H6
